"","score_file"
"R02C01-10006391",0.130048
"R04C01-10018066",0.177952
"R05C01-10014873",0.13
"R06C01-10018068",0.13
"R08C01-10021910",0.177952
"R01C01-10018158",0.13
"R02C01-10018139",0.13
"R03C01-10018108",0.13
"R04C01-10018111",0.178
"R05C01-10018169",0.065065
"R06C01-10018138",0.177952
"R07C01-10018170",0.130048
"R08C01-10018351",0.130048
"R02C01-10018494",0.178
"R03C01-10018333",0.178
"R04C01-10018360",0.065
"R05C01-10018453",0.178
"R06C01-10018350",0.178
"R07C01-10018457",0.13
"R01C01-10018294",0.13
"R02C01-10018330",0.13
"R03C01-10016310",0.178
"R04C01-10018366",0.13
"R06C01-10018339",0.06513
"R07C01-10007639",0.13
"R08C01-10018115",0.13
"R01C01-10016348",0.13
"R03C01-10016454",0.178
"R04C01-10016550",0.113195
"R05C01-10016405",0.226
"R06C01-10016339",0.130096
"R07C01-10016362",0.178
"R01C01-10021995",0.177664
"R02C01-10021980",0.225952
"R03C01-10021992",0.13
"R04C01-10022006",0.130048
"R05C01-10022007",0.067063
"R06C01-10021913",0.178
"R07C01-10022070",0.130048
"R08C01-10021919",0.178
"R03C01-10016397",0.178
"R04C01-10012762",0.129805
"R05C01-10016408",0.13
"R06C01-10018608",0.13
"R07C01-10018860",0.13
"R08C01-10018589",0.06513
"R01C01-10009721",0.130048
"R02C01-10020940",0.13
"R04C01-10006020",0.226
"R05C01-10002103",0.180256
"R06C01-10021675",0.065065
"R07C01-10021664",0.178
"R08C01-10021113",0.13
"R01C01-10026571",0.13
"R04C01-10026231",0.178
"R05C01-10026129",0.13
"R07C01-10026573",0.1468
"R08C01-10025825",0.13
"R01C01-10014336",0.225616
"R02C01-10014359",0.12948
"R04C01-10018335",0.12935
"R05C01-10007943",0.178
"R07C01-10016293",0.13
"R08C01-10018328",0.130048
"R01C01-10012948",0.13
"R02C01-10012829",0.178
"R05C01-10014392",0.13
"R07C01-10014688",0.226
"R02C01-10014858",0.178
"R04C01-10014852",0.177952
"R05C01-10014857",0.13
"R07C01-10014673",0.178
"R08C01-10014855",0.065
"R02C01-10014017",0.13
"R03C01-10022704",0.178
"R05C01-10022550",0.13
"R07C01-10022546",0.178
"R08C01-10022693",0.113
"R02C01-10021475",0.178048
"R03C01-10021477",0.178
"R04C01-10021358",0.13
"R05C01-10021359",0.065455
"R06C01-10021440",0.065
"R07C01-10021360",0.13
"R02C01-10012989",0.130048
"R03C01-10018073",0.13
"R04C01-10014019",0.13
"R05C01-10014860",0.13
"R06C01-10014848",0.178
"R07C01-10018072",0.178
"R08C01-10018046",0.178
"R02C01-10022828",0.17752
"R04C01-10022133",0.178
"R05C01-10018894",0.178
"R06C01-10012429",0.178
"R07C01-10012433",0.13
"R08C01-10012980",0.178
"R02C01-10014163",0.065065
"R03C01-10014248",0.113
"R06C01-10014251",0.178
"R07C01-10014187",0.161065
"R08C01-10014088",0.13
"R01C01-10013434",0.13
"R02C01-10018231",0.13
"R03C01-10018219",0.178
"R04C01-10013511",0.13
"R05C01-10018213",0.13
"R06C01-10018463",0.065065
"R08C01-10018218",0.178
"R01C01-10014658",0.226
"R03C01-10014455",0.13
"R04C01-10014662",0.178
"R05C01-10014405",0.226
"R07C01-10016286",0.226
"R08C01-10016281",0.113325
"R01C01-10013392",0.178
"R02C01-10014345",0.13
"R03C01-10014338",0.113065
"R04C01-10014349",0.178
"R05C01-10016306",0.178048
"R06C01-10014343",0.065065
"R07C01-10018265",0.178
"R08C01-10014337",0.178048
"R03C01-10018248",0.178144
"R04C01-10018329",0.13
"R05C01-10018251",0.176378
"R06C01-10010319",0.13
"R07C01-10007369",0.13
"R08C01-10018355",0.13
"R02C01-10013104",0.13
"R03C01-10013938",0.178
"R04C01-10020493",0.13
"R06C01-10020453",0.113065
"R07C01-10019311",0.178
"R08C01-10019324",0.06526
"R02C01-10030198",0.13
"R03C01-10030441",0.178096
"R05C01-10029314",0.13
"R06C01-10029772",0.13
"R08C01-10030258",0.065
"R01C01-10022605",0.178
"R02C01-10022062",0.13
"R03C01-10022027",0.178
"R04C01-10021892",0.13
"R05C01-10022063",0.12987
"R06C01-10021952",0.06643
"R07C01-10022072",0.13
"R01C01-10018083",0.13
"R02C01-10014969",0.178
"R03C01-10014898",0.178
"R04C01-10012992",0.13
"R05C01-10014900",0.178048
"R06C01-10014912",0.178
"R07C01-10014897",0.178
"R08C01-10014901",0.113
"R02C01-10022046",0.13
"R03C01-10022045",0.130144
"R04C01-10021959",0.13
"R05C01-10022077",0.178
"R06C01-10021961",0.178
"R07C01-10022032",0.178
"R08C01-10021497",0.13
"R01C01-10016437",0.13
"R03C01-10016439",0.130864
"R04C01-10016433",0.13
"R06C01-10016420",0.163275
"R02C01-10016435",0.13
"R03C01-10016390",0.178
"R04C01-10016419",0.113
"R05C01-10016423",0.130192
"R07C01-10014328",0.13
"R01C01-10018181",0.13
"R02C01-10018258",0.113195
"R03C01-10018270",0.113065
"R04C01-10018189",0.178
"R06C01-10021996",0.178
"R07C01-10021975",0.13
"R08C01-10021969",0.13
"R02C01-10014464",0.178
"R03C01-10014423",0.13
"R04C01-10014396",0.177952
"R05C01-10014318",0.13
"R06C01-10014427",0.13
"R07C01-10014426",0.13
"R08C01-10007886",0.178
"R02C01-10018249",0.178
"R05C01-10018171",0.13
"R06C01-10014669",0.13
"R07C01-10018202",0.13
"R02C01-10018290",0.065
"R03C01-10018301",0.130384
"R04C01-10018281",0.13
"R05C01-10018297",0.13
"R06C01-10018278",0.13
"R07C01-10018291",0.178
"R08C01-10018279",0.130144
"R03C01-10021453",0.17735
"R04C01-10021479",0.178
"R05C01-10021483",0.178
"R06C01-10021485",0.178
"R07C01-10021467",0.178
"R08C01-10021494",0.13
"R01C01-10018306",0.178
"R02C01-10018506",0.177952
